brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Quang Hanh,320000,32 chỗ ngồi,19:00,20-05-2024,21-05-2024,04:55,9 giờ 55 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,43
Quang Hanh,400000,22 chỗ ngồi,19:00,20-05-2024,21-05-2024,03:40,8 giờ 40 phút,"Bến xe An Sương Quốc Lộ 22, Xã Bà Điểm","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,44
Quang Hanh,400000,22 chỗ ngồi,19:00,20-05-2024,21-05-2024,04:10,9 giờ 10 phút,"Bến xe An Sương Quốc Lộ 22, Xã Bà Điểm",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,45
Quang Hanh,400000,22 chỗ ngồi,19:00,20-05-2024,21-05-2024,04:55,9 giờ 55 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,46
Hong Son (Phu Yen),400000,22 chỗ ngồi,19:23,20-05-2024,21-05-2024,04:38,9 giờ 15 phút,Cầu vượt Linh Xuân QL1A,Ninh Hòa QL1A QL1A,Nha Trang,47
Phuc An Express,280000,38 chỗ ngồi,19:30,20-05-2024,21-05-2024,06:15,10 giờ 45 phút,VP HCM - Phúc An Express 215 Phạm Ngũ Lão,"Trạm Ninh Hòa 17 Trần Quý Cáp, Ngã 3 ngoài Ninh Hòa",Nha Trang,48
Phuong Nam,260000,40 chỗ ngồi,19:30,20-05-2024,21-05-2024,05:22,9 giờ 52 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,"Ngã 3 trong 658 Trần Quý Cáp, TT. Ninh Hòa, Ninh Hòa, Khánh Hòa",Nha Trang,49
Phuong Nam,260000,40 chỗ ngồi,19:30,20-05-2024,21-05-2024,05:32,10 giờ 2 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,Ngã 3 ngoài QL1 Ngã 3 ngoài,Nha Trang,50
Quang Hanh,400000,22 chỗ ngồi,19:30,20-05-2024,21-05-2024,03:40,8 giờ 10 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,51
Quang Hanh,400000,22 chỗ ngồi,19:45,20-05-2024,21-05-2024,03:55,8 giờ 10 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,52
